Product_detail_id,Product_Name,Product_Price,Product_Image_URL,Product_Category,rating
1,N/A,N/A,,baking ingredients,4.5
2,N/A,N/A,,baking ingredients,4.5
3,Sprig Natural Bourbon Vanilla | 20 ml Extract | Superior Quality | Chemical-free | Alcohol-free | For Gourmet Baking & Desserts,199,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/412N1QG4jQL._AC_UL320_.jpg,baking ingredients,4.1
4,"BOGATCHI Whipping Cream Powder, Tasty | Non GMO | Gluten Free, Whipping Cream for Cakes, Muffins, Cup Cakes, Tarts, Coffee, 180g, Free Measuring Spoon",394,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/619FI6WVfQL._AC_UL320_.jpg,baking ingredients,3.9
5,"BOGATCHI Double Acting Baking Powder and Baking Soda for Making Cake, Breads, Pizza, Muffins, Dhokla, Idlis, Naans |Baking Ingredients | Baking Soda, Cooking Soda , 200g, Free Measuring Spoon",144,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/61d0Wr733XL._AC_UL320_.jpg,baking ingredients,4.8
6,Plattered Whole Wheat Devil's Choco Cake Mix | Soft Moist Cake | 100% Whole Wheat Atta | Zero Refined Sugar | Eggless | Vegan Friendly | 280g,249,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/71aq2gIbKiL._AC_UL320_.jpg,baking ingredients,3.7
7,foodfrillz Combo of 7 Baking Essential Ingredients (Cocoa+Baking Powder+soda+Vanilla Essence+Whipping Cream Powder+Rainbow & Chocolate Sprinkles),545,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/61jLPsIH6eL._AC_UL320_.jpg,baking ingredients,3.6
8,"foodfrillz Combo of 5 Baking Ingredients - Whipping Cream Powder 100 g, Cocoa Powder 60 g, Baking Powder 100 g & Baking Soda 140 g, Bakefrillz Vanilla Essence (20 ml)",445,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/51qZZ3dhQBL._AC_UL320_.jpg,baking ingredients,4.6
9,"CCDS Vital Wheat Gluten - The Secret Ingredient of Professional Bakers, 125 GMS",189,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/61-2ZCQ0FNL._AC_UL320_.jpg,baking ingredients,3.7
10,CCDS Tylose Powder for Fondant and Gum Paste Cooking Food Baking,294,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/61zryc7VruL._AC_UL320_.jpg,baking ingredients,4.4
11,CCDS Tylose Powder for Fondant and Gum Paste Cooking Food Baking,294,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/61zryc7VruL._AC_UL320_.jpg,baking ingredients,4.5
12,"BOGATCHI Mixed Tutti Frutti for Cake, Ice Creams and Shakes Decorations, Mix Tutti Frutti Multicolor, Delicious and Tasty, 200g with Free Measuring Spoon",154,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/61a+uS2U24L._AC_UL320_.jpg,baking ingredients,4.6
13,Honey Sweets Isomalt for Cake Decoration (125 Grams),160,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/61c2Jj3poML._AC_UL320_.jpg,baking ingredients,3.9
14,La Casa Metallic Pearlescent Golden & Silver Spray Colour | Combo Pack of 2 | Edible Color Ideal for Cake Decoration & Garnishing | 2x30g |,449,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/810LNcvrq5S._AC_UL320_.jpg,baking ingredients,3.5
15,"Wow Confetti™ Confeito Rainbow Vermicelli (Sprinkles), 125g",125,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/81hn-FETQOL._AC_UL320_.jpg,baking ingredients,3.1
16,N/A,N/A,,baking ingredients,3.7
17,"Ossoro French Vanilla Flavour Essence, 30 ml Glass Bottle for Baking Essential Ideal for Cakes, Sauces, Cookies, Ice Creams, Chocolate & Cocktail",175,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/617OK6HUVuS._AC_UL320_.jpg,baking ingredients,3.5
18,foodfrillz Cocoa Powder | Baking Powder | Baking Soda | Vanilla Essence,348,https://m.media-amazon.com/images/W/MEDIAX_792452-T2/images/I/61Rm5zRsYeL._AC_UL320_.jpg,baking ingredients,3.6
